MonYear,Year,MonthNo,Deaths,Treatment,Effective,Pop,StdPop,Time,Trend,OrigData,Cause,Data Table,Characteristic
"Jan., 1999",1999,1,49,1,0,15759421,157.59421,1,0,1,Combo,Table1,All
"Feb., 1999",1999,2,41,1,0,15759421,157.59421,2,0,1,Combo,Table1,All
"Mar., 1999",1999,3,50,1,0,15759421,157.59421,3,0,1,Combo,Table1,All
"Apr., 1999",1999,4,42,1,0,15759421,157.59421,4,0,1,Combo,Table1,All
"May, 1999",1999,5,46,1,0,15759421,157.59421,5,0,1,Combo,Table1,All
"Jun., 1999",1999,6,49,1,0,15759421,157.59421,6,0,1,Combo,Table1,All
"Jul., 1999",1999,7,53,1,0,15759421,157.59421,7,0,1,Combo,Table1,All
"Aug., 1999",1999,8,33,1,0,15759421,157.59421,8,0,1,Combo,Table1,All
"Sep., 1999",1999,9,42,1,0,15759421,157.59421,9,0,1,Combo,Table1,All
"Oct., 1999",1999,10,58,1,0,15759421,157.59421,10,0,1,Combo,Table1,All
"Nov., 1999",1999,11,40,1,0,15759421,157.59421,11,0,1,Combo,Table1,All
"Dec., 1999",1999,12,70,1,0,15759421,157.59421,12,0,1,Combo,Table1,All
"Jan., 2000",2000,1,59,1,0,16047515,160.47515,13,0,1,Combo,Table1,All
"Feb., 2000",2000,2,37,1,0,16047515,160.47515,14,0,1,Combo,Table1,All
"Mar., 2000",2000,3,41,1,0,16047515,160.47515,15,0,1,Combo,Table1,All
"Apr., 2000",2000,4,20,1,0,16047515,160.47515,16,0,1,Combo,Table1,All
"May, 2000",2000,5,27,1,0,16047515,160.47515,17,0,1,Combo,Table1,All
"Jun., 2000",2000,6,40,1,0,16047515,160.47515,18,0,1,Combo,Table1,All
"Jul., 2000",2000,7,56,1,0,16047515,160.47515,19,0,1,Combo,Table1,All
"Aug., 2000",2000,8,24,1,0,16047515,160.47515,20,0,1,Combo,Table1,All
"Sep., 2000",2000,9,30,1,0,16047515,160.47515,21,0,1,Combo,Table1,All
"Oct., 2000",2000,10,48,1,0,16047515,160.47515,22,0,1,Combo,Table1,All
"Nov., 2000",2000,11,58,1,0,16047515,160.47515,23,0,1,Combo,Table1,All
"Dec., 2000",2000,12,51,1,0,16047515,160.47515,24,0,1,Combo,Table1,All
"Jan., 2001",2001,1,58,1,0,16356966,163.56966,25,0,1,Combo,Table1,All
"Feb., 2001",2001,2,42,1,0,16356966,163.56966,26,0,1,Combo,Table1,All
"Mar., 2001",2001,3,55,1,0,16356966,163.56966,27,0,1,Combo,Table1,All
"Apr., 2001",2001,4,47,1,0,16356966,163.56966,28,0,1,Combo,Table1,All
"May, 2001",2001,5,50,1,0,16356966,163.56966,29,0,1,Combo,Table1,All
"Jun., 2001",2001,6,49,1,0,16356966,163.56966,30,0,1,Combo,Table1,All
"Jul., 2001",2001,7,42,1,0,16356966,163.56966,31,0,1,Combo,Table1,All
"Aug., 2001",2001,8,55,1,0,16356966,163.56966,32,0,1,Combo,Table1,All
"Sep., 2001",2001,9,50,1,0,16356966,163.56966,33,0,1,Combo,Table1,All
"Oct., 2001",2001,10,54,1,0,16356966,163.56966,34,0,1,Combo,Table1,All
"Nov., 2001",2001,11,45,1,0,16356966,163.56966,35,0,1,Combo,Table1,All
"Dec., 2001",2001,12,63,1,0,16356966,163.56966,36,0,1,Combo,Table1,All
"Jan., 2002",2002,1,52,1,0,16689370,166.8937,37,0,1,Combo,Table1,All
"Feb., 2002",2002,2,49,1,0,16689370,166.8937,38,0,1,Combo,Table1,All
"Mar., 2002",2002,3,46,1,0,16689370,166.8937,39,0,1,Combo,Table1,All
"Apr., 2002",2002,4,49,1,0,16689370,166.8937,40,0,1,Combo,Table1,All
"May, 2002",2002,5,69,1,0,16689370,166.8937,41,0,1,Combo,Table1,All
"Jun., 2002",2002,6,58,1,0,16689370,166.8937,42,0,1,Combo,Table1,All
"Jul., 2002",2002,7,62,1,0,16689370,166.8937,43,0,1,Combo,Table1,All
"Aug., 2002",2002,8,57,1,0,16689370,166.8937,44,0,1,Combo,Table1,All
"Sep., 2002",2002,9,68,1,0,16689370,166.8937,45,0,1,Combo,Table1,All
"Oct., 2002",2002,10,56,1,0,16689370,166.8937,46,0,1,Combo,Table1,All
"Nov., 2002",2002,11,57,1,0,16689370,166.8937,47,0,1,Combo,Table1,All
"Dec., 2002",2002,12,46,1,0,16689370,166.8937,48,0,1,Combo,Table1,All
"Jan., 2003",2003,1,50,1,0,17004085,170.04085,49,0,1,Combo,Table1,All
"Feb., 2003",2003,2,49,1,0,17004085,170.04085,50,0,1,Combo,Table1,All
"Mar., 2003",2003,3,56,1,0,17004085,170.04085,51,0,1,Combo,Table1,All
"Apr., 2003",2003,4,63,1,0,17004085,170.04085,52,0,1,Combo,Table1,All
"May, 2003",2003,5,56,1,0,17004085,170.04085,53,0,1,Combo,Table1,All
"Jun., 2003",2003,6,53,1,0,17004085,170.04085,54,0,1,Combo,Table1,All
"Jul., 2003",2003,7,60,1,0,17004085,170.04085,55,0,1,Combo,Table1,All
"Aug., 2003",2003,8,73,1,0,17004085,170.04085,56,0,1,Combo,Table1,All
"Sep., 2003",2003,9,55,1,0,17004085,170.04085,57,0,1,Combo,Table1,All
"Oct., 2003",2003,10,66,1,0,17004085,170.04085,58,0,1,Combo,Table1,All
"Nov., 2003",2003,11,60,1,0,17004085,170.04085,59,0,1,Combo,Table1,All
"Dec., 2003",2003,12,49,1,0,17004085,170.04085,60,0,1,Combo,Table1,All
"Jan., 2004",2004,1,58,1,0,17415318,174.15318,61,0,1,Combo,Table1,All
"Feb., 2004",2004,2,48,1,0,17415318,174.15318,62,0,1,Combo,Table1,All
"Mar., 2004",2004,3,52,1,0,17415318,174.15318,63,0,1,Combo,Table1,All
"Apr., 2004",2004,4,55,1,0,17415318,174.15318,64,0,1,Combo,Table1,All
"May, 2004",2004,5,65,1,0,17415318,174.15318,65,0,1,Combo,Table1,All
"Jun., 2004",2004,6,56,1,0,17415318,174.15318,66,0,1,Combo,Table1,All
"Jul., 2004",2004,7,60,1,0,17415318,174.15318,67,0,1,Combo,Table1,All
"Aug., 2004",2004,8,64,1,0,17415318,174.15318,68,0,1,Combo,Table1,All
"Sep., 2004",2004,9,58,1,0,17415318,174.15318,69,0,1,Combo,Table1,All
"Oct., 2004",2004,10,54,1,0,17415318,174.15318,70,0,1,Combo,Table1,All
"Nov., 2004",2004,11,64,1,0,17415318,174.15318,71,0,1,Combo,Table1,All
"Dec., 2004",2004,12,48,1,0,17415318,174.15318,72,0,1,Combo,Table1,All
"Jan., 2005",2005,1,45,1,0,17842038,178.42038,73,0,1,Combo,Table1,All
"Feb., 2005",2005,2,35,1,0,17842038,178.42038,74,0,1,Combo,Table1,All
"Mar., 2005",2005,3,53,1,0,17842038,178.42038,75,0,1,Combo,Table1,All
"Apr., 2005",2005,4,54,1,0,17842038,178.42038,76,0,1,Combo,Table1,All
