State,MonYear,Year,MonthNo,Characteristic,Deaths,Cause,Treatment,Population
FL,"Jan., 1999",1999,1,35 and over,15,All Firearm,1,8867116
FL,"Feb., 1999",1999,2,35 and over,15,All Firearm,1,8867116
FL,"Mar., 1999",1999,3,35 and over,20,All Firearm,1,8867116
FL,"Apr., 1999",1999,4,35 and over,13,All Firearm,1,8867116
FL,"May, 1999",1999,5,35 and over,17,All Firearm,1,8867116
FL,"Jun., 1999",1999,6,35 and over,11,All Firearm,1,8867116
FL,"Jul., 1999",1999,7,35 and over,21,All Firearm,1,8867116
FL,"Aug., 1999",1999,8,35 and over,15,All Firearm,1,8867116
FL,"Sep., 1999",1999,9,35 and over,15,All Firearm,1,8867116
FL,"Oct., 1999",1999,10,35 and over,22,All Firearm,1,8867116
FL,"Nov., 1999",1999,11,35 and over,14,All Firearm,1,8867116
FL,"Dec., 1999",1999,12,35 and over,27,All Firearm,1,8867116
FL,"Jan., 2000",2000,1,35 and over,29,All Firearm,1,8968880
FL,"Feb., 2000",2000,2,35 and over,16,All Firearm,1,8968880
FL,"Mar., 2000",2000,3,35 and over,21,All Firearm,1,8968880
FL,"Apr., 2000",2000,4,35 and over,,All Firearm,1,8968880
FL,"May, 2000",2000,5,35 and over,15,All Firearm,1,8968880
FL,"Jun., 2000",2000,6,35 and over,15,All Firearm,1,8968880
FL,"Jul., 2000",2000,7,35 and over,24,All Firearm,1,8968880
FL,"Aug., 2000",2000,8,35 and over,11,All Firearm,1,8968880
FL,"Sep., 2000",2000,9,35 and over,15,All Firearm,1,8968880
FL,"Oct., 2000",2000,10,35 and over,23,All Firearm,1,8968880
FL,"Nov., 2000",2000,11,35 and over,24,All Firearm,1,8968880
FL,"Dec., 2000",2000,12,35 and over,24,All Firearm,1,8968880
FL,"Jan., 2001",2001,1,35 and over,26,All Firearm,1,9168965
FL,"Feb., 2001",2001,2,35 and over,17,All Firearm,1,9168965
FL,"Mar., 2001",2001,3,35 and over,26,All Firearm,1,9168965
FL,"Apr., 2001",2001,4,35 and over,22,All Firearm,1,9168965
FL,"May, 2001",2001,5,35 and over,25,All Firearm,1,9168965
FL,"Jun., 2001",2001,6,35 and over,22,All Firearm,1,9168965
FL,"Jul., 2001",2001,7,35 and over,15,All Firearm,1,9168965
FL,"Aug., 2001",2001,8,35 and over,20,All Firearm,1,9168965
FL,"Sep., 2001",2001,9,35 and over,20,All Firearm,1,9168965
FL,"Oct., 2001",2001,10,35 and over,19,All Firearm,1,9168965
FL,"Nov., 2001",2001,11,35 and over,22,All Firearm,1,9168965
FL,"Dec., 2001",2001,12,35 and over,25,All Firearm,1,9168965
FL,"Jan., 2002",2002,1,35 and over,17,All Firearm,1,9372936
FL,"Feb., 2002",2002,2,35 and over,22,All Firearm,1,9372936
FL,"Mar., 2002",2002,3,35 and over,19,All Firearm,1,9372936
FL,"Apr., 2002",2002,4,35 and over,19,All Firearm,1,9372936
FL,"May, 2002",2002,5,35 and over,24,All Firearm,1,9372936
FL,"Jun., 2002",2002,6,35 and over,23,All Firearm,1,9372936
FL,"Jul., 2002",2002,7,35 and over,24,All Firearm,1,9372936
FL,"Aug., 2002",2002,8,35 and over,29,All Firearm,1,9372936
FL,"Sep., 2002",2002,9,35 and over,30,All Firearm,1,9372936
FL,"Oct., 2002",2002,10,35 and over,22,All Firearm,1,9372936
FL,"Nov., 2002",2002,11,35 and over,27,All Firearm,1,9372936
FL,"Dec., 2002",2002,12,35 and over,18,All Firearm,1,9372936
FL,"Jan., 2003",2003,1,35 and over,23,All Firearm,1,9566781
FL,"Feb., 2003",2003,2,35 and over,17,All Firearm,1,9566781
FL,"Mar., 2003",2003,3,35 and over,24,All Firearm,1,9566781
FL,"Apr., 2003",2003,4,35 and over,23,All Firearm,1,9566781
