"","Score","Matched Startup","Describe.your.startup.","What.stage.is.your.product.in.","Specify.what."
"11",12.6602427279464,"Prolendo","Crowdinvestment platform for residential mortgages. Social impact investing - earn high returns on your investment while lowering the cost of mortgages for your fellow citizens.","Prototype Built","Networking with like-minded individuals"
"119",12.6602427279464,"JegManglerPenge.dk / KapitalMatch.dk","JegManglerPenge.dk (and 14 international domain names) is a financing portal which collects the whole range of financing possibilties, so you only need to go 1 place when you need money!
 
 It also do advances matchmaking so that you, your project or purpose will be matched up with the whole range of financing possibilities, straight form donations, crowdfuning, loans, grants, scholarships, sponsorships and all the way to investors like busines angels and venture capital fonds.
 
 The portal also has many build in tools to make the whole screening process easy for investors, lawyers, governments etc.","Prototype Built","FinTech investment"
"34",5.24404424085076,"AiRelo","A Multi-language City Registration Assistant that learns the bureaucracy and e-Services from different cities and support users to autofill forms just by taking a photo of their passport or/and answering some easy questions. Also with intelligent recommendations how to settle in at the new address based on users data.","Product Launched","InsurTech, Chatbot, Investors/Journalist/Multiplicators Partners"
"137",5.24404424085076,"ForexFix GmbH","Forexfix is a Berlin based B2B Fintech Startup. Forexfix is a service for small and medium companies doing business internationally, for example machine-builders, hardware start-ups, or travel-agencies. We fix currency fluctuations by taking out the risks of doing business in foreign currencies. Our solution is the first service on the market providing this completely online. Forexfix was founded in February 2017. The founders are Robert Kröber (CEO), Gerhard Maringer (CTO) and Philipp Stegmann (CSO). They combine experience in banking, international business, finance IT, marketing and sales.","Product Launched","We are raising 1 Million Euro in a new round this year. Also I would like to meet international companies (currency exchange) and journalists."
"7",0,"STOMT","We utilize scalable feedback loops for marketing and retargeting purposes enabling brands to have a mass relationship management at hand.","Product Launched","Espcially investment between 500k to 1,5M"
"8",0,"Civocracy","Our citizen participation platform empowers government to effectively connect with their citizens to co-create policy and projects that create better communities.","Product Launched","Raising our series A and meeting potential new clients (corporate applications of technology)"
"9",0,"FALOA","Online shop for super sustainable, fair and vegan high-end fashion","Product Launched","Looking for Business Angels/Seed investment, media coverage"
"10",0,"Raised by the beat","Facilitate job creation for dance professionals though services and education allowing for a better life , longer career and better expression of the art form.","Product Launched","All of the above"
"13",0,"Glossom","Glossom makes it easy for the users to discover relevant products through content and social. Users can see which products appear on videos and make purchases directly from the videos.
 The brands receive content where their products appear and open their new sales channel on Glossom to the new generation of consumer.
 Glossom generates 10 times better CTR from videos to brand product pages comparing to other platforms.
 And the data provided is unique combination of social interactions with purchasing behaviour as well as demographics. It covers all the aspects of the user analytics for brands to get full understanding of their customer.","Product Launched","raising funds"
"17",0,"GDC","Offering a curated and ever-expanding range of designer goods, in partnership with select brands and NGO's everything sold at GDC gives back to those in need.","Product Launched","250k"
"18",0,"Wnkle","Wnkle will target Pharmacies, Medical & Scan Labs and Medical Equipment & Supplies Companies. Pharmacies, Medical & Scan Labs... Usually all of them have a deal with the doctors to get more customers. And according to IMSHealth Medicine Market in Egypt reach 43 Billion EGP in 2016 not including Medical & Scan Labs and Medical Equipment & Supplies Companies numbers. Some medical companies have a deal with Doctors to write them medicines in the DR prescription.
 Once Wnkle approved by top 10 Pharmacies and have a win-win deal with doctors. We will share revenue with doctors to use our Mobile App and encourage patients to use our app to get a discount.","Prototype Built","Angel Investment"
"19",0,"Clearago","Clearago is a digital platform to bring the fragmented waste management industry into the 21st century.
 
 - We've built a marketplace on www.clearago.de where waste containers can be directly booked online in Germany's largest cities
 - Subsequently, we will extend that into an Enterprise SaaS platform to optimize the waste collectors' operations incl. scheduling, fleet utilization, route optimization, IOT integration and more. 
 
 Since launch, we have processed more than 1000 transactions at a take rate of >20% with more than 80 waste disposal companies on the platform.
 
 At the moment we're in talks with several interested investors for a seed round. We will be happy to connect with potential investors, multipliers, advisors and industry experts.","Product Launched","Seed Investment"
"20",0,"MotionTag","MotionTags brings intelligence to mobility. Our technology, relying on deep learning on smartphone sensors, recognizes when, how, and why people move and distinguishes between 10 transport modes. Based on this, we enable our customers to better segment their users and therefore allowing targeted services. Our two main use cases are mobility analytics, which provides essential mobility data to mobility providers and cities, and seamless ticketing, which enables pay-as-you-go ticketing without any hardware.
 Based on this, we enable our customers to better segment their users and therefore allowing targeted services.","Product Launched","We like to talk to investors for our series A"
"22",0,"Alpha Omega","Security token venture capital fund focused initially on crypto assets","Prototype Built","Startups"
"23",0,"Success Mall","Blockchain Ecommerce Ecosystem","Product Launched","Getting Series A Round Funding"
"26",0,"helloguide GmbH","with our chatbot automation platform, clients can create chatbased guides for museums, cities, events, brands and media, simplier and faster than any other platform","Product Launched","Investment of 500 k needed"
"27",0,"Shopdow","Odoo development and business management software integratiins.","Prototype Built","Partnership"
"29",0,"Pretty Deadly Business","SaaS cloud-based software program to deliver self defense & awareness training addressing sexual harassment in the workplace. Pretty Deadly Business is simply the technology piece of an established,functional program. The SaaS version offers a wider reach to help more people, and solve real business problems.","Idea","1M in fudning; building partnerships for prototypes and investment"
"30",0,"Matchmaker Robin","Robin is a free Matchmaker on iOS & Android connecting young professionals to one Match a day, based on personality traits, common values & interests, and mutual appeal.","Prototype Built","Looking for network & financial support to support MVP once it is created"
"31",0,"Startup Look","Magazine","Prototype Built","Investement"
"33",0,"Mutees","We empower musicians to make money by selling their own products and give their music for free,","Product Launched","Networking"
